Sector,company_name,location,start_date,duration,stipend,skills
Pharmaceutical Biotechnology,Pfizer India,Delhi,1 Jan'25,12 Months,"? 20,000 /month","Biotechnology, Lab Skills, Research, Molecular Biology, Data Analysis, IoT Protocols, Arduino/Raspberry Pi, C/C++"
Library Science & Information Management,Manipal Academy of Higher Education,Noida,1 Nov'24,6 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Teaching Assistantship (Chemistry),VIT Vellore,Hyderabad,1 Sep'24,8 Months,Unpaid,"MS Office, Communication, Organization, Time Management, Subject Knowledge, Patience, Lesson Planning"
Quality Control (Pharma),AstraZeneca India,Mumbai,1 Jan'25,3 Months,"? 10,000 /month","Quality Assurance, Attention to Detail, Documentation, Testing"
Electoral Process & Democracy Research,India Development Review (IDR),Chandigarh,1 Nov'24,12 Months,Unpaid,"Research Methodology, Data Analysis, Academic Writing, Literature Review"
Environmental Journalism,BBC India Bureau,Delhi,1 Jul'24,3 Months,"? 20,000 /month","Environmental Science, Data Analysis, Research, Sustainability, Journalism, Writing, Interviewing, Fact-checking"
Drug Formulation & Development,Sanofi India,Indore,1 Feb'25,3 Months,"? 25,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Corporate Finance Advisory,Sharp & Tannan,Chandigarh,Immediately,1 Month,Unpaid,"Communication, Professionalism, Presentation, MS Office, Financial Analysis, Excel, Accounting Basics, Financial Modeling"
STEM Education Program Coordination,Manipal Academy of Higher Education,Bangalore,1 Aug'24,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Employee Assistance Program (EAP) Coordination,Wysa,Mumbai,1 Jul'24,6 Months,"? 9,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Fashion Photography & Lookbook Creation,Page Industries (Jockey India),Hyderabad,1 Feb'25,12 Months,"? 10,000-20,000 /month","Camera Skills, Lighting, Adobe Lightroom, Composition, Photo Editing"
Research Assistantship (Environmental Studies),Lovely Professional University,Lucknow,1 Feb'25,1 Month,"? 25,000 /month","Environmental Science, Data Analysis, Research, Sustainability, MS Office, Communication, Organization, Time Management"
Forest Management & Biodiversity Research,Wildlife Trust of India,Visakhapatnam,1 Oct'24,1 Month,Unpaid,"Leadership, Communication, Planning, MS Office, Problem Solving, Research Methodology, Data Analysis, Academic Writing"
Agricultural Extension & Rural Advisory,PAU Ludhiana,Jaipur,1 Aug'24,10 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
BIM (Building Information Modeling),DesignCafe,Indore,1 Feb'25,8 Months,"? 15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Pharmaceutical Marketing & Sales,CSIR-IICT Hyderabad,Jaipur,Immediately,2 Months,"? 8,000-11,000 /month","Marketing Strategy, Communication, Analytics, Content Creation, Negotiation, CRM, Lead Generation, Presentation"
Government Budget Analysis,Ministry of Rural Development,Ahmedabad,1 Aug'24,4 Months,"? 12,000-22,000 /month","Go, Concurrency, REST APIs, Microservices"
Constitutional Law Research,Supreme Court of India (Registry),Nagpur,1 Jan'25,2 Months,"? 15,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Criminal Law Research,Vakilsearch,Coimbatore,1 Oct'24,10 Months,"? 15,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Environmental Compliance & Auditing,SustainPlus,Dehradun,15 Aug'24,3 Months,"? 11,000-21,000 /month","Environmental Science, Data Analysis, Research, Sustainability, Regulatory Compliance, Documentation, Risk Assessment, Attention to Detail"
Forest Management & Biodiversity Research,Wildlife Trust of India,Chennai,1 Oct'24,10 Months,"? 9,000-11,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, Research Methodology, Data Analysis, Academic Writing"
Human Rights Law,NALSAR Hyderabad,Kolkata,1 Jul'24,2 Months,"? 25,000 /month","Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Tourism Policy & Sustainable Tourism Research,ITC Hotels,Lucknow,1 Jan'25,12 Months,"? 12,500-14,500 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Tourism Knowledge, Communication, Customer Service, Geography"
Hospitality Marketing & Digital Presence,Club Mahindra,Coimbatore,1 Nov'24,12 Months,"? 15,000 /month","Hospitality Skills, Customer Service, Communication, Event Management, Marketing Strategy, Analytics, Content Creation"
Event Management & Banquets,SOTC Travel,Bangalore,15 Jul'24,2 Months,"? 15,000 /month","Event Planning, Communication, Budgeting, Vendor Management, Coordination, Leadership, Planning, MS Office"
Oncology Research Assistantship,Thyrocare Technologies,Work From Home,1 Nov'24,1 Month,"? 15,000-18,000 /month","MS Office, Communication, Organization, Time Management, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Marine Biology & Ocean Conservation,Indian Institute of Forest Management (IIFM) Bhopal,Coimbatore,Immediately,3 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Media Research & Analytics,Reuters India,Chennai,1 Nov'24,8 Months,"? 5,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Education Technology Research,Delhi University,Kochi,1 Sep'24,6 Months,"? 10,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Animal Husbandry & Dairy Science,PI Industries,Indore,Immediately,10 Months,"? 9,000-11,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Print Journalism,Newslaundry,Nagpur,1 Jul'24,1 Month,"? 7,500-12,500 /month","Journalism, Writing, Research, Interviewing, Fact-checking"
Pharmaceutical Supply Chain & Logistics,Torrent Pharmaceuticals,Chennai,1 Jan'25,10 Months,"? 12,000-22,000 /month","Supply Chain Management, Logistics, Excel, Inventory Management, Logistics Management, Supply Chain, Coordination"
Pharmaceutical Production & Manufacturing,Alkem Laboratories,Kolkata,1 Oct'24,10 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Think Tank Research (Public Policy),Ministry of Finance (Govt of India),Dehradun,15 Jul'24,6 Months,"? 16,000-26,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Dental Research & Clinical Assistance,Sir Ganga Ram Hospital,Lucknow,1 Jul'24,1 Month,"? 10,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Clinical Research, Data Collection, Documentation, GCP"
Educational Psychology,iCall (TISS),Chandigarh,1 Jul'24,12 Months,"? 5,000-15,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
Veterinary Pathology & Diagnostics,Wiggles,Hyderabad,1 Nov'24,10 Months,"? 11,000-21,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research"
Climate Change Research & Policy,National Environmental Engineering Research Institute (NEERI),Kochi,15 Jul'24,6 Months,"? 5,000-8,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Climate Science, Research, GIS"
Drone Technology & UAV Operations,Star Air,Delhi,15 Aug'24,2 Months,"? 20,000-23,000 /month","Process Optimization, Excel, Communication, Project Management"
Neuropsychology Research,Sangath,Dehradun,1 Aug'24,12 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication, Research Methodology, Academic Writing, Literature Review"
Environmental Impact Assessment (EIA),"Ministry of Environment, Forest & Climate Change",Chennai,1 Aug'24,2 Months,"? 7,000-12,000 /month","Environmental Science, Data Analysis, Research, Sustainability"
Library Science & Information Management,IIT Kanpur,Noida,1 Aug'24,2 Months,"? 5,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Sports Law,Luthra & Luthra Law Offices,Nagpur,1 Nov'24,8 Months,Unpaid,"Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Fashion Merchandising & Buying,Abraham & Thakore,Kochi,1 Jan'25,1 Month,"? 15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Insurance Law & Claims,Samvad Partners,Noida,1 Jan'25,6 Months,Unpaid,"Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
STEM Education Program Coordination,IIT Bombay,Coimbatore,1 Aug'24,10 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Mergers & Acquisitions (Legal),J Sagar Associates,Chennai,Immediately,3 Months,Unpaid,"Legal Research, Contract Drafting, Legal Writing, Compliance"
Pharmacovigilance,Johnson & Johnson (Pharma) India,Bangalore,15 Aug'24,1 Month,"? 20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Pharmaceutical Supply Chain & Logistics,Laurus Labs,Bhopal,Immediately,1 Month,"? 15,000 /month","Supply Chain Management, Logistics, Excel, Inventory Management, Logistics Management, Supply Chain, Coordination"
Veterinary Pathology & Diagnostics,KVAFSU Bidar,Lucknow,1 Jan'25,4 Months,"? 9,000-14,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research"
Pharmaceutical Supply Chain & Logistics,Lupin,Work From Home,15 Aug'24,10 Months,"? 10,000 /month","Supply Chain Management, Logistics, Excel, Inventory Management, Logistics Management, Supply Chain, Coordination"
Management Accounting,S.S. Kothari Mehta & Co,Indore,15 Jul'24,2 Months,"? 12,500-17,500 /month","Tally, Excel, Financial Statements, GST, Bookkeeping, Leadership, Communication, Planning"
Horticulture & Floriculture,NDRI Karnal,Delhi,1 Feb'25,10 Months,"? 9,000-11,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Corporate Sustainability (ESG) Reporting,Centre for Science and Environment (CSE),Work From Home,1 Aug'24,2 Months,"? 5,000 /month","Sustainability, Environmental Science, Research, Report Writing, Communication, Professionalism, Presentation, MS Office"
Visual Merchandising (Retail Fashion),Myntra,Bangalore,15 Jul'24,6 Months,"? 10,000-13,000 /month","Visual Display, Retail Knowledge, Creativity, Adobe Photoshop"
Hospitality Marketing & Digital Presence,The Leela Palaces,Chandigarh,1 Sep'24,4 Months,"? 10,000 /month","Hospitality Skills, Customer Service, Communication, Event Management, Marketing Strategy, Analytics, Content Creation"
Interior Design,Bonito Designs,Kolkata,1 Nov'24,3 Months,"? 20,000 /month","AutoCAD, SketchUp, 3D Visualization, Space Planning, Color Theory"
Curriculum Design & Development,Christ University,Bhopal,Immediately,2 Months,"? 5,000 /month","Curriculum Design, Subject Knowledge, Pedagogy, Content Development"
Marine Biology & Ocean Conservation,Indian Institute of Forest Management (IIFM) Bhopal,Nagpur,15 Aug'24,6 Months,"? 9,000-14,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Public Administration,Takshashila Institution,Hyderabad,1 Jul'24,1 Month,"? 20,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling"
Forensic Accounting,S.R. Batliboi & Co,Kochi,1 Oct'24,2 Months,Unpaid,"Tally, Excel, Financial Statements, GST, Bookkeeping"
Animal Nutrition & Feed Technology,Mars Petcare India,Mumbai,1 Aug'24,2 Months,Unpaid,"Nutrition Science, Diet Planning, Health Assessment, Communication"
Animal Surgery Assistantship,Wiggles,Hyderabad,1 Oct'24,1 Month,Unpaid,"MS Office, Communication, Organization, Time Management"
Epidemiology & Biostatistics,Metropolis Healthcare,Noida,1 Jul'24,1 Month,Unpaid,"Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing, Swift, Xcode, UIKit"
Epidemiology & Biostatistics,Practo Technologies,Ahmedabad,Immediately,8 Months,"? 5,000 /month","Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing, Swift, Xcode, UIKit"
Heritage Tourism & Cultural Curatorship,Thomas Cook India,Jaipur,1 Aug'24,8 Months,"? 20,000 /month","Tourism Knowledge, Communication, Customer Service, Geography"
Health Journalism,All India Radio (Prasar Bharati),Visakhapatnam,1 Aug'24,8 Months,Unpaid,"Journalism, Writing, Research, Interviewing, Fact-checking"
Cyber Law & Data Privacy,Link Legal,Pune,1 Nov'24,8 Months,"? 10,000-15,000 /month","Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Veterinary Pharmacology Research,Wiggles,Hyderabad,15 Jul'24,10 Months,"? 15,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Radio Journalism & Podcasting,Aaj Tak,Bangalore,Immediately,3 Months,"? 10,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking, Audio Editing, Content Planning, Communication"
Library Science & Information Management,IISER Mohali,Visakhapatnam,15 Aug'24,2 Months,"? 12,000-15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Culinary Arts & Kitchen Operations,ITC Hotels,Kolkata,1 Feb'25,4 Months,"? 5,000-15,000 /month","Process Optimization, Excel, Communication, Project Management"
Real Estate & Property Law,Verity Legal,Visakhapatnam,1 Nov'24,4 Months,"? 10,000 /month","Real Estate Knowledge, Communication, Negotiation, Market Research, Property Knowledge, Documentation, Legal Research, Case Analysis"
Food Processing & Technology,CIFT Cochin,Bangalore,15 Jul'24,1 Month,"? 5,000 /month","Food Science, Lab Skills, Quality Control, Research"
Labour & Employment Law,Khaitan & Co,Dehradun,1 Jan'25,4 Months,"? 10,000-12,000 /month","Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Research Assistantship (Environmental Studies),SRM Institute of Science & Technology,Jaipur,1 Jan'25,12 Months,"? 8,000-10,000 /month","Environmental Science, Data Analysis, Research, Sustainability, MS Office, Communication, Organization, Time Management"
Flight Dispatch & Operations Control,Air India,Coimbatore,1 Feb'25,6 Months,"? 15,000-17,000 /month","Process Optimization, Excel, Communication, Project Management"
Paralegal Assistantship,NHRC India,Ahmedabad,1 Aug'24,1 Month,Unpaid,"MS Office, Communication, Organization, Time Management, Legal Research, Contract Drafting, Legal Writing, Compliance"
Academic Conference & Event Management,IIT Kanpur,Ahmedabad,1 Jul'24,1 Month,"? 8,000-11,000 /month","Event Planning, Communication, Budgeting, Vendor Management, Coordination, Leadership, Planning, MS Office"
Interior Design,Abin Design Studio,Jaipur,1 Jan'25,6 Months,"? 10,000 /month","AutoCAD, SketchUp, 3D Visualization, Space Planning, Color Theory"
Environmental Compliance & Auditing,The Energy and Resources Institute (TERI),Coimbatore,Immediately,3 Months,"? 5,000 /month","Environmental Science, Data Analysis, Research, Sustainability, Regulatory Compliance, Documentation, Risk Assessment, Attention to Detail"
Seed Technology & Plant Breeding,UAS Bangalore,Chandigarh,1 Oct'24,10 Months,"? 7,000-9,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Print Journalism,NDTV,Ahmedabad,1 Aug'24,10 Months,Unpaid,"Journalism, Writing, Research, Interviewing, Fact-checking"
Organic Farming & Sustainability,Coromandel International,Jaipur,1 Jul'24,1 Month,"? 7,500 /month","Sustainability, Environmental Science, Research, Report Writing"
Risk Advisory & Compliance,Tax2win,Noida,1 Jan'25,3 Months,Unpaid,"Regulatory Compliance, Documentation, Risk Assessment, Attention to Detail"
Clinical Psychology Assistantship,RCI (Rehabilitation Council of India),Indore,1 Jul'24,8 Months,"? 11,000-14,000 /month","Psychology, Research, Counseling, Data Analysis, Communication, MS Office, Organization, Time Management"
Legal Tech & Innovation,Law Commission of India,Bhopal,15 Aug'24,4 Months,Unpaid,"Legal Research, Contract Drafting, Legal Writing, Compliance"
Geriatric Psychology,YourDOST,Lucknow,1 Aug'24,1 Month,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Library Science & Information Management,UPES Dehradun,Coimbatore,1 Oct'24,1 Month,Unpaid,"Leadership, Communication, Planning, MS Office, Problem Solving"
Investigative Journalism,Newslaundry,Dehradun,15 Jul'24,3 Months,"? 5,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking"
Cabin Crew Training Coordination,Boeing India,Indore,15 Aug'24,4 Months,"? 10,000 /month","Training, Communication, Presentation, Subject Knowledge"
International Trade Law,AZB & Partners,Delhi,15 Aug'24,12 Months,"? 25,000 /month","Communication, Eagerness to Learn, Teamwork, Basic Technical Skills, Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Broadcast Journalism (TV),Scroll.in,Noida,1 Aug'24,1 Month,"? 10,000-20,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking"
University Outreach & Community Engagement,IISc Bangalore,Bangalore,1 Nov'24,2 Months,Unpaid,"Community Management, Social Media, Communication, Event Planning, Unity, C#, Game Development, 3D"
Clinical Trials Management,Glenmark Pharmaceuticals,Chennai,Immediately,1 Month,"? 8,000-10,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, Clinical Research, Data Collection, Documentation"
Child & Adolescent Psychology,Christ University (Psychology),Bhopal,15 Jul'24,6 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Child & Adolescent Psychology,Manastha,Bhopal,1 Nov'24,1 Month,"? 9,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
Disaster Risk Reduction & Resilience,Centre for Science and Environment (CSE),Lucknow,15 Jul'24,3 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Veterinary Clinical Practice,Venky's India,Pune,1 Jul'24,3 Months,"? 6,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research, Clinical Research, Data Collection, Documentation, GCP"
Fisheries & Aquaculture,Rallis India (Tata Group),Indore,1 Jul'24,2 Months,"? 15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Green Building & LEED Certification,The Energy and Resources Institute (TERI),Bhopal,15 Jul'24,12 Months,"? 15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Fashion Journalism & Blogging,Page Industries (Jockey India),Noida,1 Jan'25,6 Months,"? 10,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking, Blog Writing, SEO, WordPress"
Dermatology Clinical Assistantship,Columbia Asia Hospitals,Pune,1 Jul'24,12 Months,Unpaid,"MS Office, Communication, Organization, Time Management, Clinical Research, Data Collection, Documentation, GCP"
Research Assistantship (Data Science),NIT Surathkal,Noida,1 Jul'24,4 Months,"? 12,000-15,000 /month","Python, Pandas, NumPy, Scikit-learn, Statistics, Data Visualization, MS Office, Communication"
Renewable Energy Research (Solar/Wind),"Ministry of Environment, Forest & Climate Change",Kolkata,15 Aug'24,3 Months,"? 9,000-14,000 /month","Renewable Energy, Engineering, Sustainability, Data Analysis, Research Methodology, Academic Writing, Literature Review"
Educational Psychology,Manastha,Chennai,15 Jul'24,1 Month,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Textile Design & Print Development,Snitch,Work From Home,1 Nov'24,10 Months,"? 20,000 /month","Textile Knowledge, Print Design, Adobe Illustrator, Color Theory"
Animal Nutrition & Feed Technology,Wiggles,Kolkata,Immediately,8 Months,"? 12,000 /month","Nutrition Science, Diet Planning, Health Assessment, Communication"
Animal Nutrition & Feed Technology,MAFSU Nagpur,Kolkata,1 Nov'24,8 Months,Unpaid,"Nutrition Science, Diet Planning, Health Assessment, Communication"
Airline Revenue Management,IndiGo (InterGlobe Aviation),Coimbatore,Immediately,6 Months,"? 15,000-17,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Precision Agriculture & IoT in Farming,Stellapps,Delhi,1 Oct'24,12 Months,"? 10,000 /month","Agricultural Science, Research, Data Analysis, Field Work, IoT Protocols, Arduino/Raspberry Pi, C/C++, Sensors"
Public Administration,Reserve Bank of India (Research Dept),Indore,1 Jul'24,8 Months,"? 12,000-14,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling"
Tax Law & Advisory,NITI Aayog (Legal Division),Nagpur,1 Oct'24,8 Months,Unpaid,"Tax Laws, Financial Analysis, Compliance, Excel, Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Wildlife Veterinary Medicine,Indian Immunologicals,Coimbatore,15 Jul'24,10 Months,Unpaid,"Veterinary Science, Animal Care, Clinical Skills, Research, Wildlife Biology, Field Research, Data Collection, Conservation"
Restaurant Management,Lemon Tree Hotels,Nagpur,1 Jan'25,10 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Print Journalism,PTI (Press Trust of India),Indore,1 Nov'24,6 Months,Unpaid,"Journalism, Writing, Research, Interviewing, Fact-checking"
Wildlife Conservation & Ecology,Suzlon Energy,Chennai,1 Sep'24,2 Months,Unpaid,"Wildlife Biology, Field Research, Data Collection, Conservation"
Budgeting & Forecasting,Tax2win,Coimbatore,Immediately,8 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Soil Science & Fertility Management,Coromandel International,Kochi,Immediately,8 Months,"? 5,000-8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Health Journalism,MoneyControl,Chandigarh,1 Nov'24,12 Months,Unpaid,"Journalism, Writing, Research, Interviewing, Fact-checking"
Landscape Architecture,Creative Group,Jaipur,1 Jan'25,6 Months,"? 16,000-21,000 /month","AutoCAD, Revit, SketchUp, Design Thinking, 3D Visualization"
Aviation Safety & Quality Assurance,IndiGo (InterGlobe Aviation),Chandigarh,1 Nov'24,10 Months,"? 15,000-17,000 /month","Quality Assurance, Attention to Detail, Documentation, Testing"
Occupational Health & Safety,Lilavati Hospital Mumbai,Hyderabad,1 Sep'24,8 Months,"? 15,000-18,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Soil Science & Fertility Management,GBPUAT Pantnagar,Kochi,1 Jan'25,8 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
RTI & Transparency Advocacy,Ministry of Rural Development,Nagpur,15 Jul'24,12 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Marine Biology & Ocean Conservation,"Ministry of Environment, Forest & Climate Change",Kochi,15 Jul'24,8 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
E-Governance & Digital India Initiatives,PRS Legislative Research,Hyderabad,1 Oct'24,8 Months,"? 15,000 /month","Go, Concurrency, REST APIs, Microservices"
Geriatric Psychology,Apollo Clinic (Psychiatry),Bhopal,1 Aug'24,4 Months,"? 9,000-14,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
Veterinary Public Health & Zoonoses,Zigly,Kolkata,Immediately,6 Months,"? 9,000-11,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research"
Regulatory Affairs (Pharma),Dr. Reddy's Laboratories,Pune,Immediately,4 Months,"? 12,000-14,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Animal Nutrition & Feed Technology,Indian Immunologicals,Coimbatore,1 Aug'24,1 Month,Unpaid,"Nutrition Science, Diet Planning, Health Assessment, Communication"
Education Policy Research,UPES Dehradun,Chandigarh,15 Jul'24,1 Month,"? 15,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Sports Journalism,Aaj Tak,Gurgaon,1 Sep'24,8 Months,Unpaid,"Journalism, Writing, Research, Interviewing, Fact-checking"
Agricultural Extension & Rural Advisory,TNAU Coimbatore,Jaipur,15 Jul'24,1 Month,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Student Mentorship Program Coordination,Azim Premji University,Visakhapatnam,1 Jan'25,1 Month,"? 25,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Fisheries & Aquaculture,CropIn Technology,Nagpur,15 Jul'24,12 Months,"? 12,500 /month","Communication, Problem Solving, Teamwork, MS Office"
Organizational Psychology / I-O Psychology,Delhi University (Dept of Psychology),Lucknow,1 Jan'25,12 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Crisis Intervention & Helpline Support,Amaha (formerly InnerHour),Noida,1 Oct'24,10 Months,"? 7,000-10,000 /month","Customer Support, Communication, Troubleshooting, Ticketing Systems"
Pattern Making & Draping,Reliance Brands,Nagpur,1 Sep'24,6 Months,"? 20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Veterinary Pharmacology Research,Mother Dairy,Coimbatore,15 Aug'24,2 Months,"? 15,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Farm Management & Agricultural Economics,Intello Labs,Kochi,1 Feb'25,8 Months,"? 7,000-17,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Water Resource Management & Irrigation,Intello Labs,Hyderabad,1 Nov'24,3 Months,"? 7,000-9,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, Water Resources, Environmental Science, Data Analysis"
Carbon Footprint & Life Cycle Assessment,Indian Institute of Forest Management (IIFM) Bhopal,Work From Home,1 Aug'24,2 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Academic Counseling,NIT Trichy,Gurgaon,1 Jul'24,6 Months,Unpaid,"Counseling, Active Listening, Empathy, Communication, Psychology, Research, Academic Writing, Literature Review"
Academic Research & Paper Writing,IIT Madras,Noida,1 Aug'24,4 Months,Unpaid,"Research Methodology, Data Analysis, Academic Writing, Literature Review, Research, Critical Thinking, Writing, Grammar"
Quality Control (Pharma),Johnson & Johnson (Pharma) India,Jaipur,1 Nov'24,2 Months,"? 16,000-21,000 /month","Quality Assurance, Attention to Detail, Documentation, Testing"
Biomedical Engineering Research,Pristyn Care,Chandigarh,1 Jan'25,6 Months,Unpaid,"Biomedical Knowledge, MATLAB, Lab Skills, Medical Devices, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Government Affairs & Advocacy,Ministry of Finance (Govt of India),Chandigarh,1 Aug'24,12 Months,"? 15,000 /month","Go, Concurrency, REST APIs, Microservices"
Capital Markets Advisory,myITreturn.com,Bangalore,1 Feb'25,1 Month,"? 7,500-10,500 /month","Communication, Problem Solving, Teamwork, MS Office"
Legal Research & Drafting,Crawford Bayley & Co,Kolkata,15 Jul'24,12 Months,"? 10,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Legal Research, Contract Drafting, Legal Writing, Compliance"
Resort & Spa Management,The Leela Palaces,Jaipur,1 Jul'24,8 Months,"? 7,500-17,500 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Epidemiology & Biostatistics,Wockhardt Hospitals,Coimbatore,1 Oct'24,8 Months,Unpaid,"Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing, Swift, Xcode, UIKit"
Renewable Energy Research (Solar/Wind),Bombay Natural History Society (BNHS),Mumbai,Immediately,6 Months,"? 5,000 /month","Renewable Energy, Engineering, Sustainability, Data Analysis, Research Methodology, Academic Writing, Literature Review"
Government Budget Analysis,Swaraj Foundation,Noida,15 Aug'24,1 Month,Unpaid,"Go, Concurrency, REST APIs, Microservices"
Photojournalism,Deccan Herald,Dehradun,15 Aug'24,3 Months,"? 10,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking"
Development Sector Research,Takshashila Institution,Chennai,Immediately,6 Months,"? 15,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Pharmaceutical Research,Portea Medical,Kolkata,15 Aug'24,1 Month,"? 15,000-17,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
International Relations & Diplomacy Research,Carnegie India,Hyderabad,1 Feb'25,12 Months,Unpaid,"Research Methodology, Data Analysis, Academic Writing, Literature Review, Communication, Eagerness to Learn, Teamwork, Basic Technical Skills"
Cargo & Logistics (Aviation),Vistara (Tata SIA Airlines),Kolkata,1 Jul'24,4 Months,"? 10,000-15,000 /month","Logistics Management, Excel, Supply Chain, Coordination, Go, Concurrency, REST APIs, Microservices"
Veterinary Pharmacology Research,Venky's India,Noida,Immediately,4 Months,Unpaid,"Veterinary Science, Animal Care, Clinical Skills, Research, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Banking & Finance Law,Phoenix Legal,Dehradun,1 Oct'24,8 Months,Unpaid,"Financial Analysis, Excel, Accounting Basics, Financial Modeling, Banking Knowledge, Customer Service, Legal Research, Case Analysis"
Arbitration & Dispute Resolution,Verity Legal,Kolkata,Immediately,8 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Forensic Accounting,Mazars India,Bangalore,15 Jul'24,6 Months,"? 5,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping"
Resort & Spa Management,Hyatt India,Indore,1 Nov'24,10 Months,"? 20,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
